树脂团	resin_clump
蓝色鸡蛋	blue_egg
棕色鸡蛋	brown_egg
指南针	compass
追溯指针	recovery_compass
收纳袋	bundle
白色收纳袋	white_bundle
橙色收纳袋	orange_bundle
品红色收纳袋	magenta_bundle
淡蓝色收纳袋	light_blue_bundle
黄色收纳袋	yellow_bundle
黄绿色收纳袋	lime_bundle
粉红色收纳袋	pink_bundle
灰色收纳袋	gray_bundle
淡灰色收纳袋	light_gray_bundle
青色收纳袋	cyan_bundle
紫色收纳袋	purple_bundle
蓝色收纳袋	blue_bundle
棕色收纳袋	brown_bundle
绿色收纳袋	green_bundle
红色收纳袋	red_bundle
黑色收纳袋	black_bundle
钓鱼竿	fishing_rod
时钟	clock
望远镜	spyglass
荧石粉	glowstone_dust
生鳕鱼	cod
生鲑鱼	salmon
热带鱼	tropical_fish
河豚	pufferfish
熟鳕鱼	cooked_cod
熟鲑鱼	cooked_salmon
墨囊	ink_sac
荧光墨囊	glow_ink_sac
可可豆	cocoa_beans
白色染料	white_dye
橙色染料	orange_dye
品红色染料	magenta_dye
淡蓝色染料	light_blue_dye
黄色染料	yellow_dye
黄绿色染料	lime_dye
粉红色染料	pink_dye
灰色染料	gray_dye
淡灰色染料	light_gray_dye
青色染料	cyan_dye
紫色染料	purple_dye
蓝色染料	blue_dye
棕色染料	brown_dye
绿色染料	green_dye
红色染料	red_dye
黑色染料	black_dye
骨粉	bone_meal
骨头	bone
糖	sugar
曲奇	cookie
地图	filled_map
剪刀	shears
西瓜片	melon_slice
干海带	dried_kelp
南瓜种子	pumpkin_seeds
西瓜种子	melon_seeds
生牛肉	beef
牛排	cooked_beef
生鸡肉	chicken
熟鸡肉	cooked_chicken
腐肉	rotten_flesh
末影珍珠	ender_pearl
烈焰棒	blaze_rod
恶魂之泪	ghast_tear
金粒	gold_nugget
下界疣	nether_wart
玻璃瓶	glass_bottle
药水	potion
蜘蛛眼	spider_eye
发酵蛛眼	fermented_spider_eye
烈焰粉	blaze_powder
岩浆膏	magma_cream
末影之眼	ender_eye
闪烁的西瓜片	glistering_melon_slice
犰狳刷怪蛋	armadillo_spawn_egg
悦灵刷怪蛋	allay_spawn_egg
美西螈刷怪蛋	axolotl_spawn_egg
蝙蝠刷怪蛋	bat_spawn_egg
蜜蜂刷怪蛋	bee_spawn_egg
烈焰人刷怪蛋	blaze_spawn_egg
沼骸刷怪蛋	bogged_spawn_egg
旋风人刷怪蛋	breeze_spawn_egg
猫刷怪蛋	cat_spawn_egg
骆驼刷怪蛋	camel_spawn_egg
洞穴蜘蛛刷怪蛋	cave_spider_spawn_egg
鸡刷怪蛋	chicken_spawn_egg
鳕鱼刷怪蛋	cod_spawn_egg
牛刷怪蛋	cow_spawn_egg
苦力怕刷怪蛋	creeper_spawn_egg
海豚刷怪蛋	dolphin_spawn_egg
驴刷怪蛋	donkey_spawn_egg
溺尸刷怪蛋	drowned_spawn_egg
远古守卫者刷怪蛋	elder_guardian_spawn_egg
末影龙刷怪蛋	ender_dragon_spawn_egg
末影人刷怪蛋	enderman_spawn_egg
末影螨刷怪蛋	endermite_spawn_egg
唤魔者刷怪蛋	evoker_spawn_egg
狐狸刷怪蛋	fox_spawn_egg
青蛙刷怪蛋	frog_spawn_egg
恶魂刷怪蛋	ghast_spawn_egg
发光鱿鱼刷怪蛋	glow_squid_spawn_egg
山羊刷怪蛋	goat_spawn_egg
守卫者刷怪蛋	guardian_spawn_egg
疣猪兽刷怪蛋	hoglin_spawn_egg
马刷怪蛋	horse_spawn_egg
尸壳刷怪蛋	husk_spawn_egg
铁傀儡刷怪蛋	iron_golem_spawn_egg
羊驼刷怪蛋	llama_spawn_egg
岩浆怪刷怪蛋	magma_cube_spawn_egg
哞菇刷怪蛋	mooshroom_spawn_egg
骡刷怪蛋	mule_spawn_egg
豹猫刷怪蛋	ocelot_spawn_egg
熊猫刷怪蛋	panda_spawn_egg
鹦鹉刷怪蛋	parrot_spawn_egg
幻翼刷怪蛋	phantom_spawn_egg
猪刷怪蛋	pig_spawn_egg
猪灵刷怪蛋	piglin_spawn_egg
猪灵蛮兵刷怪蛋	piglin_brute_spawn_egg
掠夺者刷怪蛋	pillager_spawn_egg
北极熊刷怪蛋	polar_bear_spawn_egg
河豚刷怪蛋	pufferfish_spawn_egg
兔子刷怪蛋	rabbit_spawn_egg
劫掠兽刷怪蛋	ravager_spawn_egg
鲑鱼刷怪蛋	salmon_spawn_egg
绵羊刷怪蛋	sheep_spawn_egg
潜影贝刷怪蛋	shulker_spawn_egg
蠹虫刷怪蛋	silverfish_spawn_egg
骷髅刷怪蛋	skeleton_spawn_egg
骷髅马刷怪蛋	skeleton_horse_spawn_egg
史莱姆刷怪蛋	slime_spawn_egg
嗅探兽刷怪蛋	sniffer_spawn_egg
雪傀儡刷怪蛋	snow_golem_spawn_egg
蜘蛛刷怪蛋	spider_spawn_egg
鱿鱼刷怪蛋	squid_spawn_egg
流浪者刷怪蛋	stray_spawn_egg
炽足兽刷怪蛋	strider_spawn_egg
蝌蚪刷怪蛋	tadpole_spawn_egg
行商羊驼刷怪蛋	trader_llama_spawn_egg
热带鱼刷怪蛋	tropical_fish_spawn_egg
海龟刷怪蛋	turtle_spawn_egg
恼鬼刷怪蛋	vex_spawn_egg
村民刷怪蛋	villager_spawn_egg
卫道士刷怪蛋	vindicator_spawn_egg
流浪商人刷怪蛋	wandering_trader_spawn_egg
监守者刷怪蛋	warden_spawn_egg
女巫刷怪蛋	witch_spawn_egg
凋灵刷怪蛋	wither_spawn_egg
凋灵骷髅刷怪蛋	wither_skeleton_spawn_egg
狼刷怪蛋	wolf_spawn_egg
僵尸疣猪兽刷怪蛋	zoglin_spawn_egg
嘎枝刷怪蛋	creaking_spawn_egg
僵尸刷怪蛋	zombie_spawn_egg
僵尸马刷怪蛋	zombie_horse_spawn_egg
僵尸村民刷怪蛋	zombie_villager_spawn_egg
僵尸猪灵刷怪蛋	zombified_piglin_spawn_egg
快乐恶魂刷怪蛋	happy_ghast_spawn_egg
附魔之瓶	experience_bottle
火焰弹	fire_charge
风弹	wind_charge
书与笔	writable_book
成书	written_book
旋风棒	breeze_rod
重锤	mace
物品展示框	item_frame
荧光物品展示框	glow_item_frame
胡萝卜	carrot
马铃薯	potato
烤马铃薯	baked_potato
毒马铃薯	poisonous_potato
空地图	map
金胡萝卜	golden_carrot
下界之星	nether_star
南瓜派	pumpkin_pie
烟花火箭	firework_rocket
烟火之星	firework_star
附魔书	enchanted_book
下界砖	nether_brick
树脂砖	resin_brick
海晶碎片	prismarine_shard
海晶砂粒	prismarine_crystals
生兔肉	rabbit
熟兔肉	cooked_rabbit
兔肉煲	rabbit_stew
兔子脚	rabbit_foot
兔子皮	rabbit_hide
盔甲架	armor_stand
铁马铠	iron_horse_armor
金马铠	golden_horse_armor
钻石马铠	diamond_horse_armor
皮革马铠	leather_horse_armor
拴绳	lead
命名牌	name_tag
命令方块矿车	command_block_minecart
生羊肉	mutton
熟羊肉	cooked_mutton
末地水晶	end_crystal
紫颂果	chorus_fruit
爆裂紫颂果	popped_chorus_fruit
火把花种子	torchflower_seeds
瓶子草荚果	pitcher_pod
甜菜根	beetroot
甜菜种子	beetroot_seeds
甜菜汤	beetroot_soup
龙息	dragon_breath
喷溅药水	splash_potion
光灵箭	spectral_arrow
药箭	tipped_arrow
滞留药水	lingering_potion
盾牌	shield
不死图腾	totem_of_undying
潜影壳	shulker_shell
铁粒	iron_nugget
知识之书	knowledge_book
调试棒	debug_stick
音乐唱片13	music_disc_13
音乐唱片Cat	music_disc_cat
音乐唱片Blocks	music_disc_blocks
音乐唱片Chirp	music_disc_chirp
音乐唱片Creator	music_disc_creator
音乐唱片Creator（八音盒）	music_disc_creator_music_box
音乐唱片Far	music_disc_far
音乐唱片Mall	music_disc_mall
音乐唱片Mellohi	music_disc_mellohi
音乐唱片Stal	music_disc_stal
音乐唱片Strad	music_disc_strad
音乐唱片Ward	music_disc_ward
音乐唱片11	music_disc_11
音乐唱片Wait	music_disc_wait
音乐唱片Otherside	music_disc_otherside
音乐唱片Relic	music_disc_relic
音乐唱片5	music_disc_5
音乐唱片Pigstep	music_disc_pigstep
音乐唱片Precipice	music_disc_precipice
音乐唱片Lava Chicken	music_disc_lava_chicken
唱片残片	disc_fragment_5
三叉戟	trident
鹦鹉螺壳	nautilus_shell
海洋之心	heart_of_the_sea
弩	crossbow
谜之炖菜	suspicious_stew
花朵盾徽旗帜图案	flower_banner_pattern
苦力怕盾徽旗帜图案	creeper_banner_pattern
头颅盾徽旗帜图案	skull_banner_pattern
Mojang徽标旗帜图案	mojang_banner_pattern
地球旗帜图案	globe_banner_pattern
猪鼻旗帜图案	piglin_banner_pattern
涡流旗帜图案	flow_banner_pattern
旋风旗帜图案	guster_banner_pattern
砖纹旗帜图案	field_masoned_banner_pattern
波纹边旗帜图案	bordure_indented_banner_pattern
山羊角	goat_horn
甜浆果	sweet_berries
发光浆果	glow_berries
蜜脾	honeycomb
蜂蜜瓶	honey_bottle
回响碎片	echo_shard
刷子	brush
下界合金升级	netherite_upgrade_smithing_template
哨兵盔甲纹饰	sentry_armor_trim_smithing_template
沙丘盔甲纹饰	dune_armor_trim_smithing_template
海岸盔甲纹饰	coast_armor_trim_smithing_template
荒野盔甲纹饰	wild_armor_trim_smithing_template
监守盔甲纹饰	ward_armor_trim_smithing_template
眼眸盔甲纹饰	eye_armor_trim_smithing_template
恼鬼盔甲纹饰	vex_armor_trim_smithing_template
潮汐盔甲纹饰	tide_armor_trim_smithing_template
猪鼻盔甲纹饰	snout_armor_trim_smithing_template
肋骨盔甲纹饰	rib_armor_trim_smithing_template
尖塔盔甲纹饰	spire_armor_trim_smithing_template
向导盔甲纹饰	wayfinder_armor_trim_smithing_template
塑造盔甲纹饰	shaper_armor_trim_smithing_template
幽静盔甲纹饰	silence_armor_trim_smithing_template
牧民盔甲纹饰	raiser_armor_trim_smithing_template
雇主盔甲纹饰	host_armor_trim_smithing_template
涡流盔甲纹饰	flow_armor_trim_smithing_template
镶铆盔甲纹饰	bolt_armor_trim_smithing_template
垂钓纹样陶片	angler_pottery_sherd
弓箭纹样陶片	archer_pottery_sherd
举臂纹样陶片	arms_up_pottery_sherd
利刃纹样陶片	blade_pottery_sherd
佳酿纹样陶片	brewer_pottery_sherd
烈焰纹样陶片	burn_pottery_sherd
危机纹样陶片	danger_pottery_sherd
探险纹样陶片	explorer_pottery_sherd
涡流纹样陶片	flow_pottery_sherd
挚友纹样陶片	friend_pottery_sherd
旋风纹样陶片	guster_pottery_sherd
爱心纹样陶片	heart_pottery_sherd
心碎纹样陶片	heartbreak_pottery_sherd
狼嚎纹样陶片	howl_pottery_sherd
采矿纹样陶片	miner_pottery_sherd
悲恸纹样陶片	mourner_pottery_sherd
富饶纹样陶片	plenty_pottery_sherd
珍宝纹样陶片	prize_pottery_sherd
刮削纹样陶片	scrape_pottery_sherd
麦捆纹样陶片	sheaf_pottery_sherd
树荫纹样陶片	shelter_pottery_sherd
头颅纹样陶片	skull_pottery_sherd
嗅探纹样陶片	snort_pottery_sherd
试炼钥匙	trial_key
不祥试炼钥匙	ominous_trial_key
不祥之瓶	ominous_bottle
