图标	方块	命名空间ID	物品形式
	大型垂滴叶	big_dripleaf	ID相同
	大型垂滴叶茎	big_dripleaf_stem	没有物品形式
	白桦木按钮	birch_button	ID相同
	白桦木门	birch_door	ID相同
	白桦木栅栏	birch_fence	ID相同
	白桦木栅栏门	birch_fence_gate	ID相同
	悬挂式白桦木告示牌	birch_hanging_sign	ID相同
	白桦树叶	birch_leaves	ID相同
	白桦原木	birch_log	ID相同
	白桦木板	birch_planks	ID相同
	白桦木压力板	birch_pressure_plate	ID相同
	白桦树苗	birch_sapling	ID相同
	白桦木告示牌	birch_sign	ID相同
	白桦木台阶	birch_slab	ID相同
	白桦木楼梯	birch_stairs	ID相同
	白桦木活板门	birch_trapdoor	ID相同
	墙上的悬挂式白桦木告示牌	birch_wall_hanging_sign	物品的放置方式变种（birch_hanging_sign）
	墙上的白桦木告示牌	birch_wall_sign	物品的放置方式变种（birch_sign）
	白桦木	birch_wood	ID相同
	黑色旗帜	black_banner	ID相同
	黑色床	black_bed	ID相同
	黑色蜡烛	black_candle	ID相同
	插上黑色蜡烛的蛋糕	black_candle_cake	叠加型方块（cake）
	黑色地毯	black_carpet	ID相同
	黑色混凝土	black_concrete	ID相同
	黑色混凝土粉末	black_concrete_powder	ID相同
	黑色带釉陶瓦	black_glazed_terracotta	ID相同
	黑色潜影盒	black_shulker_box	ID相同
	黑色染色玻璃	black_stained_glass	ID相同
	黑色染色玻璃板	black_stained_glass_pane	ID相同
	黑色陶瓦	black_terracotta	ID相同
	墙上的黑色旗帜	black_wall_banner	物品的放置方式变种（black_banner）
	黑色羊毛	black_wool	ID相同
	黑石	blackstone	ID相同
	黑石台阶	blackstone_slab	ID相同
	黑石楼梯	blackstone_stairs	ID相同
	黑石墙	blackstone_wall	ID相同
	高炉	blast_furnace	ID相同
	蓝色旗帜	blue_banner	ID相同
	蓝色床	blue_bed	ID相同
	蓝色蜡烛	blue_candle	ID相同
	插上蓝色蜡烛的蛋糕	blue_candle_cake	叠加型方块（cake）
	蓝色地毯	blue_carpet	ID相同
	蓝色混凝土	blue_concrete	ID相同
	蓝色混凝土粉末	blue_concrete_powder	ID相同
	蓝色带釉陶瓦	blue_glazed_terracotta	ID相同
	蓝冰	blue_ice	ID相同
	兰花	blue_orchid	ID相同
	蓝色潜影盒	blue_shulker_box	ID相同
	蓝色染色玻璃	blue_stained_glass	ID相同
	蓝色染色玻璃板	blue_stained_glass_pane	ID相同
	蓝色陶瓦	blue_terracotta	ID相同
	墙上的蓝色旗帜	blue_wall_banner	物品的放置方式变种（blue_banner）
	蓝色羊毛	blue_wool	ID相同
	骨块	bone_block	ID相同
	书架	bookshelf	ID相同
	脑纹珊瑚	brain_coral	ID相同
	脑纹珊瑚块	brain_coral_block	ID相同
	脑纹珊瑚扇	brain_coral_fan	ID相同
	墙上的脑纹珊瑚扇	brain_coral_wall_fan	物品的放置方式变种（brain_coral_fan）
	酿造台	brewing_stand	ID相同
	砖台阶	brick_slab	ID相同
	砖楼梯	brick_stairs	ID相同
	砖块墙	brick_wall	ID相同
	砖块	bricks	ID相同
	棕色旗帜	brown_banner	ID相同
	棕色床	brown_bed	ID相同
	棕色蜡烛	brown_candle	ID相同
	插上棕色蜡烛的蛋糕	brown_candle_cake	叠加型方块（cake）
	棕色地毯	brown_carpet	ID相同
	棕色混凝土	brown_concrete	ID相同
	棕色混凝土粉末	brown_concrete_powder	ID相同
	棕色带釉陶瓦	brown_glazed_terracotta	ID相同
	棕色蘑菇	brown_mushroom	ID相同
	棕色蘑菇方块	brown_mushroom_block	ID相同
	棕色潜影盒	brown_shulker_box	ID相同
	棕色染色玻璃	brown_stained_glass	ID相同
	棕色染色玻璃板	brown_stained_glass_pane	ID相同
	棕色陶瓦	brown_terracotta	ID相同
	墙上的棕色旗帜	brown_wall_banner	物品的放置方式变种（brown_banner）
	棕色羊毛	brown_wool	ID相同
	气泡柱	bubble_column	没有物品形式
	气泡珊瑚	bubble_coral	ID相同
	气泡珊瑚块	bubble_coral_block	ID相同
	气泡珊瑚扇	bubble_coral_fan	ID相同
	墙上的气泡珊瑚扇	bubble_coral_wall_fan	物品的放置方式变种（bubble_coral_fan）
	紫水晶母岩	budding_amethyst	ID相同
	灌木丛	bush	ID相同
	仙人掌	cactus	ID相同
	仙人掌花	cactus_flower	ID相同
	蛋糕	cake	ID相同
	方解石	calcite	ID相同
	营火	campfire	ID相同
	蜡烛	candle	ID相同
	插上蜡烛的蛋糕	candle_cake	叠加型方块（cake）
	胡萝卜	carrots	ID不同（carrot）
	制图台	cartography_table	ID相同
	雕刻南瓜	carved_pumpkin	ID相同
	炼药锅	cauldron	ID相同
洞穴空气	cave_air	没有物品形式
	洞穴藤蔓	cave_vines	ID不同（glow_berries）
	洞穴藤蔓植株	cave_vines_plant	物品的生长阶段变种（glow_berries）
	锁链	chain	ID相同
	连锁型命令方块	chain_command_block	ID相同
	樱花木按钮	cherry_button	ID相同
	樱花木门	cherry_door	ID相同
	樱花木栅栏	cherry_fence	ID相同
	樱花木栅栏门	cherry_fence_gate	ID相同
	悬挂式樱花木告示牌	cherry_hanging_sign	ID相同
	樱花树叶	cherry_leaves	ID相同
	樱花原木	cherry_log	ID相同
	樱花木板	cherry_planks	ID相同
	樱花木压力板	cherry_pressure_plate	ID相同
	樱花树苗	cherry_sapling	ID相同
	樱花木告示牌	cherry_sign	ID相同
	樱花木台阶	cherry_slab	ID相同
	樱花木楼梯	cherry_stairs	ID相同
	樱花木活板门	cherry_trapdoor	ID相同
	墙上的悬挂式樱花木告示牌	cherry_wall_hanging_sign	物品的放置方式变种（cherry_hanging_sign）
	墙上的樱花木告示牌	cherry_wall_sign	物品的放置方式变种（cherry_sign）
	樱花木	cherry_wood	ID相同
	箱子	chest	ID相同
	开裂的铁砧	chipped_anvil	ID相同
	雕纹书架	chiseled_bookshelf	ID相同
	雕纹铜块	chiseled_copper	ID相同
	雕纹深板岩	chiseled_deepslate	ID相同
	雕纹下界砖块	chiseled_nether_bricks	ID相同
	雕纹磨制黑石	chiseled_polished_blackstone	ID相同
	雕纹石英块	chiseled_quartz_block	ID相同
	雕纹红砂岩	chiseled_red_sandstone	ID相同
	雕纹树脂砖块	chiseled_resin_bricks	ID相同
	雕纹砂岩	chiseled_sandstone	ID相同
	雕纹石砖	chiseled_stone_bricks	ID相同
	雕纹凝灰岩	chiseled_tuff	ID相同
	雕纹凝灰岩砖	chiseled_tuff_bricks	ID相同
	紫颂花	chorus_flower	ID相同
	紫颂植株	chorus_plant	ID相同
	黏土	clay	ID相同
	闭合的眼眸花	closed_eyeblossom	ID相同
	煤炭块	coal_block	ID相同
	煤矿石	coal_ore	ID相同
	砂土	coarse_dirt	ID相同
	深板岩圆石	cobbled_deepslate	ID相同
	深板岩圆石台阶	cobbled_deepslate_slab	ID相同
	深板岩圆石楼梯	cobbled_deepslate_stairs	ID相同
	深板岩圆石墙	cobbled_deepslate_wall	ID相同
	圆石	cobblestone	ID相同
	圆石台阶	cobblestone_slab	ID相同
	圆石楼梯	cobblestone_stairs	ID相同
	圆石墙	cobblestone_wall	ID相同
	蜘蛛网	cobweb	ID相同
	可可果	cocoa	ID不同（cocoa_beans）
	命令方块	command_block	ID相同
	红石比较器	comparator	ID相同
	堆肥桶	composter	ID相同
	潮涌核心	conduit	ID相同
	铜块	copper_block	ID相同
	铜灯	copper_bulb	ID相同
	铜门	copper_door	ID相同
	铜格栅	copper_grate	ID相同
	铜矿石	copper_ore	ID相同
	铜活板门	copper_trapdoor	ID相同
	矢车菊	cornflower	ID相同
	裂纹深板岩砖	cracked_deepslate_bricks	ID相同
	裂纹深板岩瓦	cracked_deepslate_tiles	ID相同
	裂纹下界砖块	cracked_nether_bricks	ID相同
	裂纹磨制黑石砖	cracked_polished_blackstone_bricks	ID相同
	裂纹石砖	cracked_stone_bricks	ID相同
	合成器	crafter	ID相同
	工作台	crafting_table	ID相同
	苦力怕的头	creeper_head	ID相同
	墙上的苦力怕的头	creeper_wall_head	物品的放置方式变种（creeper_head）
	绯红木按钮	crimson_button	ID相同
	绯红木门	crimson_door	ID相同
	绯红木栅栏	crimson_fence	ID相同
	绯红木栅栏门	crimson_fence_gate	ID相同
	绯红菌	crimson_fungus	ID相同
	悬挂式绯红木告示牌	crimson_hanging_sign	ID相同
	绯红菌核	crimson_hyphae	ID相同
	绯红菌岩	crimson_nylium	ID相同
	绯红木板	crimson_planks	ID相同
	绯红木压力板	crimson_pressure_plate	ID相同
	绯红菌索	crimson_roots	ID相同
	绯红木告示牌	crimson_sign	ID相同
	绯红木台阶	crimson_slab	ID相同
	绯红木楼梯	crimson_stairs	ID相同
	绯红菌柄	crimson_stem	ID相同
	绯红木活板门	crimson_trapdoor	ID相同
	墙上的悬挂式绯红木告示牌	crimson_wall_hanging_sign	物品的放置方式变种（crimson_hanging_sign）
	墙上的绯红木告示牌	crimson_wall_sign	物品的放置方式变种（crimson_sign）
	哭泣的黑曜石	crying_obsidian	ID相同
	切制铜块	cut_copper	ID相同
	切制铜台阶	cut_copper_slab	ID相同
	切制铜楼梯	cut_copper_stairs	ID相同
	切制红砂岩	cut_red_sandstone	ID相同
	切制红砂岩台阶	cut_red_sandstone_slab	ID相同
	切制砂岩	cut_sandstone	ID相同
	切制砂岩台阶	cut_sandstone_slab	ID相同
	青色旗帜	cyan_banner	ID相同
	青色床	cyan_bed	ID相同
	青色蜡烛	cyan_candle	ID相同
	插上青色蜡烛的蛋糕	cyan_candle_cake	叠加型方块（cake）
	青色地毯	cyan_carpet	ID相同
	青色混凝土	cyan_concrete	ID相同
	青色混凝土粉末	cyan_concrete_powder	ID相同
	青色带釉陶瓦	cyan_glazed_terracotta	ID相同
	青色潜影盒	cyan_shulker_box	ID相同
	青色染色玻璃	cyan_stained_glass	ID相同
	青色染色玻璃板	cyan_stained_glass_pane	ID相同
	青色陶瓦	cyan_terracotta	ID相同
	墙上的青色旗帜	cyan_wall_banner	物品的放置方式变种（cyan_banner）
	青色羊毛	cyan_wool	ID相同
	损坏的铁砧	damaged_anvil	ID相同
	蒲公英	dandelion	ID相同
	深色橡木按钮	dark_oak_button	ID相同
	深色橡木门	dark_oak_door	ID相同
	深色橡木栅栏	dark_oak_fence	ID相同
	深色橡木栅栏门	dark_oak_fence_gate	ID相同
	悬挂式深色橡木告示牌	dark_oak_hanging_sign	ID相同
	深色橡树树叶	dark_oak_leaves	ID相同
	深色橡木原木	dark_oak_log	ID相同
	深色橡木木板	dark_oak_planks	ID相同
	深色橡木压力板	dark_oak_pressure_plate	ID相同
	深色橡树树苗	dark_oak_sapling	ID相同
	深色橡木告示牌	dark_oak_sign	ID相同
	深色橡木台阶	dark_oak_slab	ID相同
	深色橡木楼梯	dark_oak_stairs	ID相同
	深色橡木活板门	dark_oak_trapdoor	ID相同
	墙上的悬挂式深色橡木告示牌	dark_oak_wall_hanging_sign	物品的放置方式变种（dark_oak_hanging_sign）
	墙上的深色橡木告示牌	dark_oak_wall_sign	物品的放置方式变种（dark_oak_sign）
	深色橡木	dark_oak_wood	ID相同
	暗海晶石	dark_prismarine	ID相同
	暗海晶石台阶	dark_prismarine_slab	ID相同
	暗海晶石楼梯	dark_prismarine_stairs	ID相同
	阳光探测器	daylight_detector	ID相同
	失活的脑纹珊瑚	dead_brain_coral	ID相同
	失活的脑纹珊瑚块	dead_brain_coral_block	ID相同
	失活的脑纹珊瑚扇	dead_brain_coral_fan	ID相同
	墙上的失活脑纹珊瑚扇	dead_brain_coral_wall_fan	物品的放置方式变种（dead_brain_coral_fan）
	失活的气泡珊瑚	dead_bubble_coral	ID相同
	失活的气泡珊瑚块	dead_bubble_coral_block	ID相同
	失活的气泡珊瑚扇	dead_bubble_coral_fan	ID相同
	墙上的失活气泡珊瑚扇	dead_bubble_coral_wall_fan	物品的放置方式变种（dead_bubble_coral_fan）
	枯萎的灌木	dead_bush	ID相同
	失活的火珊瑚	dead_fire_coral	ID相同
	失活的火珊瑚块	dead_fire_coral_block	ID相同
	失活的火珊瑚扇	dead_fire_coral_fan	ID相同
	墙上的失活火珊瑚扇	dead_fire_coral_wall_fan	物品的放置方式变种（dead_fire_coral_fan）
	失活的鹿角珊瑚	dead_horn_coral	ID相同
	失活的鹿角珊瑚块	dead_horn_coral_block	ID相同
	失活的鹿角珊瑚扇	dead_horn_coral_fan	ID相同
	墙上的失活鹿角珊瑚扇	dead_horn_coral_wall_fan	物品的放置方式变种（dead_horn_coral_fan）
	失活的管珊瑚	dead_tube_coral	ID相同
	失活的管珊瑚块	dead_tube_coral_block	ID相同
	失活的管珊瑚扇	dead_tube_coral_fan	ID相同
	墙上的失活管珊瑚扇	dead_tube_coral_wall_fan	物品的放置方式变种（dead_tube_coral_fan）
	深板岩	deepslate	ID相同
	深板岩砖台阶	deepslate_brick_slab	ID相同
	深板岩砖楼梯	deepslate_brick_stairs	ID相同
	深板岩砖墙	deepslate_brick_wall	ID相同
	深板岩砖	deepslate_bricks	ID相同
	深层煤矿石	deepslate_coal_ore	ID相同
	深层铜矿石	deepslate_copper_ore	ID相同
	深层钻石矿石	deepslate_diamond_ore	ID相同
	深层绿宝石矿石	deepslate_emerald_ore	ID相同
	深层金矿石	deepslate_gold_ore	ID相同
	深层铁矿石	deepslate_iron_ore	ID相同
	深层青金石矿石	deepslate_lapis_ore	ID相同
	深层红石矿石	deepslate_redstone_ore	ID相同
	深板岩瓦台阶	deepslate_tile_slab	ID相同
	深板岩瓦楼梯	deepslate_tile_stairs	ID相同
	深板岩瓦墙	deepslate_tile_wall	ID相同
	深板岩瓦	deepslate_tiles	ID相同
	探测铁轨	detector_rail	ID相同
	钻石块	diamond_block	ID相同
	钻石矿石	diamond_ore	ID相同
	闪长岩	diorite	ID相同
	闪长岩台阶	diorite_slab	ID相同
	闪长岩楼梯	diorite_stairs	ID相同
	闪长岩墙	diorite_wall	ID相同
	泥土	dirt	ID相同
	土径	dirt_path	ID相同
	发射器	dispenser	ID相同
	龙蛋	dragon_egg	ID相同
	龙首	dragon_head	ID相同
	墙上的龙首	dragon_wall_head	物品的放置方式变种（dragon_head）
	失水恶魂	dried_ghast	ID相同
	干海带块	dried_kelp_block	ID相同
	滴水石块	dripstone_block	ID相同
	投掷器	dropper	ID相同
	绿宝石块	emerald_block	ID相同
	绿宝石矿石	emerald_ore	ID相同
	附魔台	enchanting_table	ID相同
	末地折跃门	end_gateway	没有物品形式
	末地传送门	end_portal	没有物品形式
	末地传送门框架	end_portal_frame	ID相同
	末地烛	end_rod	ID相同
	末地石	end_stone	ID相同
	末地石砖台阶	end_stone_brick_slab	ID相同
	末地石砖楼梯	end_stone_brick_stairs	ID相同
	末地石砖墙	end_stone_brick_wall	ID相同
	末地石砖	end_stone_bricks	ID相同
	末影箱	ender_chest	ID相同
	斑驳的雕纹铜块	exposed_chiseled_copper	ID相同
	斑驳的铜块	exposed_copper	ID相同
	斑驳的铜灯	exposed_copper_bulb	ID相同
	斑驳的铜门	exposed_copper_door	ID相同
	斑驳的铜格栅	exposed_copper_grate	ID相同
	斑驳的铜活板门	exposed_copper_trapdoor	ID相同
	斑驳的切制铜块	exposed_cut_copper	ID相同
	斑驳的切制铜台阶	exposed_cut_copper_slab	ID相同
	斑驳的切制铜楼梯	exposed_cut_copper_stairs	ID相同
	耕地	farmland	ID相同
	蕨	fern	ID相同
	火	fire	没有物品形式
	火珊瑚	fire_coral	ID相同
	火珊瑚块	fire_coral_block	ID相同
	火珊瑚扇	fire_coral_fan	ID相同
	墙上的火珊瑚扇	fire_coral_wall_fan	物品的放置方式变种（fire_coral_fan）
	萤火虫灌木	firefly_bush	ID相同
	制箭台	fletching_table	ID相同
	花盆	flower_pot	ID相同
	盛开的杜鹃花丛	flowering_azalea	ID相同
	盛开的杜鹃树叶	flowering_azalea_leaves	ID相同
	青蛙卵	frogspawn	ID相同
	霜冰	frosted_ice	没有物品形式
	熔炉	furnace	ID相同
	镶金黑石	gilded_blackstone	ID相同
	玻璃	glass	ID相同
	玻璃板	glass_pane	ID相同
	发光地衣	glow_lichen	ID相同
	荧石	glowstone	ID相同
	金块	gold_block	ID相同
	金矿石	gold_ore	ID相同
	花岗岩	granite	ID相同
	花岗岩台阶	granite_slab	ID相同
	花岗岩楼梯	granite_stairs	ID相同
	花岗岩墙	granite_wall	ID相同
	草方块	grass_block	ID相同
	沙砾	gravel	ID相同
	灰色旗帜	gray_banner	ID相同
	灰色床	gray_bed	ID相同
	灰色蜡烛	gray_candle	ID相同
	插上灰色蜡烛的蛋糕	gray_candle_cake	叠加型方块（cake）
	灰色地毯	gray_carpet	ID相同
	灰色混凝土	gray_concrete	ID相同
	灰色混凝土粉末	gray_concrete_powder	ID相同
	灰色带釉陶瓦	gray_glazed_terracotta	ID相同
	灰色潜影盒	gray_shulker_box	ID相同
	灰色染色玻璃	gray_stained_glass	ID相同
	灰色染色玻璃板	gray_stained_glass_pane	ID相同
	灰色陶瓦	gray_terracotta	ID相同
	墙上的灰色旗帜	gray_wall_banner	物品的放置方式变种（gray_banner）
	灰色羊毛	gray_wool	ID相同
	绿色旗帜	green_banner	ID相同
	绿色床	green_bed	ID相同
	绿色地毯	green_carpet	ID相同
	绿色蜡烛	green_candle	ID相同
	插上绿色蜡烛的蛋糕	green_candle_cake	叠加型方块（cake）
	绿色混凝土	green_concrete	ID相同
	绿色混凝土粉末	green_concrete_powder	ID相同
	绿色带釉陶瓦	green_glazed_terracotta	ID相同
	绿色潜影盒	green_shulker_box	ID相同
	绿色染色玻璃	green_stained_glass	ID相同
	绿色染色玻璃板	green_stained_glass_pane	ID相同
	绿色陶瓦	green_terracotta	ID相同
	墙上的绿色旗帜	green_wall_banner	物品的放置方式变种（green_banner）
	绿色羊毛	green_wool	ID相同
	砂轮	grindstone	ID相同
	垂根	hanging_roots	ID相同
	干草捆	hay_block	ID相同
	沉重核心	heavy_core	ID相同
	重质测重压力板	heavy_weighted_pressure_plate	ID相同
	蜂蜜块	honey_block	ID相同
	蜜脾块	honeycomb_block	ID相同
	漏斗	hopper	ID相同
	鹿角珊瑚	horn_coral	ID相同
	鹿角珊瑚块	horn_coral_block	ID相同
	鹿角珊瑚扇	horn_coral_fan	ID相同
	墙上的鹿角珊瑚扇	horn_coral_wall_fan	物品的放置方式变种（horn_coral_fan）
	冰	ice	ID相同
	虫蚀雕纹石砖	infested_chiseled_stone_bricks	ID相同
	虫蚀圆石	infested_cobblestone	ID相同
	虫蚀裂纹石砖	infested_cracked_stone_bricks	ID相同
	虫蚀深板岩	infested_deepslate	ID相同
	虫蚀苔石砖	infested_mossy_stone_bricks	ID相同
	虫蚀石头	infested_stone	ID相同
	虫蚀石砖	infested_stone_bricks	ID相同
	铁栏杆	iron_bars	ID相同
	铁块	iron_block	ID相同
	铁门	iron_door	ID相同
	铁矿石	iron_ore	ID相同
	铁活板门	iron_trapdoor	ID相同
	南瓜灯	jack_o_lantern	ID相同
	拼图方块	jigsaw	ID相同
	唱片机	jukebox	ID相同
	丛林木按钮	jungle_button	ID相同
	丛林木门	jungle_door	ID相同
	丛林木栅栏	jungle_fence	ID相同
	丛林木栅栏门	jungle_fence_gate	ID相同
	悬挂式丛林木告示牌	jungle_hanging_sign	ID相同
	丛林树叶	jungle_leaves	ID相同
	丛林原木	jungle_log	ID相同
	丛林木板	jungle_planks	ID相同
	丛林木压力板	jungle_pressure_plate	ID相同
	丛林树苗	jungle_sapling	ID相同
	丛林木告示牌	jungle_sign	ID相同
	丛林木台阶	jungle_slab	ID相同
	丛林木楼梯	jungle_stairs	ID相同
	丛林木活板门	jungle_trapdoor	ID相同
	墙上的悬挂式丛林木告示牌	jungle_wall_hanging_sign	物品的放置方式变种（jungle_hanging_sign）
	墙上的丛林木告示牌	jungle_wall_sign	物品的放置方式变种（jungle_sign）
	丛林木	jungle_wood	ID相同
	海带	kelp	ID相同
	海带植株	kelp_plant	物品的生长阶段变种（kelp）
	梯子	ladder	ID相同
	灯笼	lantern	ID相同
	青金石块	lapis_block	ID相同
	青金石矿石	lapis_ore	ID相同
	大型紫晶芽	large_amethyst_bud	ID相同
	大型蕨	large_fern	ID相同
	熔岩	lava	ID不同（lava_bucket）
	装有熔岩的炼药锅	lava_cauldron	叠加型方块（cauldron）
	枯叶	leaf_litter	ID相同
	讲台	lectern	ID相同
	拉杆	lever	ID相同
	光源方块	light	ID相同
	淡蓝色旗帜	light_blue_banner	ID相同
	淡蓝色床	light_blue_bed	ID相同
	淡蓝色蜡烛	light_blue_candle	ID相同
	插上淡蓝色蜡烛的蛋糕	light_blue_candle_cake	叠加型方块（cake）
	淡蓝色地毯	light_blue_carpet	ID相同
	淡蓝色混凝土	light_blue_concrete	ID相同
	淡蓝色混凝土粉末	light_blue_concrete_powder	ID相同
	淡蓝色带釉陶瓦	light_blue_glazed_terracotta	ID相同
	淡蓝色潜影盒	light_blue_shulker_box	ID相同
	淡蓝色染色玻璃	light_blue_stained_glass	ID相同
	淡蓝色染色玻璃板	light_blue_stained_glass_pane	ID相同
	淡蓝色陶瓦	light_blue_terracotta	ID相同
	墙上的淡蓝色旗帜	light_blue_wall_banner	物品的放置方式变种（light_blue_banner）
	淡蓝色羊毛	light_blue_wool	ID相同
	淡灰色旗帜	light_gray_banner	ID相同
	淡灰色床	light_gray_bed	ID相同
	淡灰色蜡烛	light_gray_candle	ID相同
	插上淡灰色蜡烛的蛋糕	light_gray_candle_cake	叠加型方块（cake）
	淡灰色地毯	light_gray_carpet	ID相同
	淡灰色混凝土	light_gray_concrete	ID相同
	淡灰色混凝土粉末	light_gray_concrete_powder	ID相同
	淡灰色带釉陶瓦	light_gray_glazed_terracotta	ID相同
	淡灰色潜影盒	light_gray_shulker_box	ID相同
	淡灰色染色玻璃	light_gray_stained_glass	ID相同
	淡灰色染色玻璃板	light_gray_stained_glass_pane	ID相同
	淡灰色陶瓦	light_gray_terracotta	ID相同
	墙上的淡灰色旗帜	light_gray_wall_banner	物品的放置方式变种（light_gray_banner）
	淡灰色羊毛	light_gray_wool	ID相同
	轻质测重压力板	light_weighted_pressure_plate	ID相同
	避雷针	lightning_rod	ID相同
	丁香	lilac	ID相同
	铃兰	lily_of_the_valley	ID相同
	睡莲	lily_pad	ID相同
	黄绿色旗帜	lime_banner	ID相同
	黄绿色床	lime_bed	ID相同
	黄绿色蜡烛	lime_candle	ID相同
	插上黄绿色蜡烛的蛋糕	lime_candle_cake	叠加型方块（cake）
	黄绿色地毯	lime_carpet	ID相同
	黄绿色混凝土	lime_concrete	ID相同
	黄绿色混凝土粉末	lime_concrete_powder	ID相同
	黄绿色带釉陶瓦	lime_glazed_terracotta	ID相同
	黄绿色潜影盒	lime_shulker_box	ID相同
	黄绿色染色玻璃	lime_stained_glass	ID相同
	黄绿色染色玻璃板	lime_stained_glass_pane	ID相同
	黄绿色陶瓦	lime_terracotta	ID相同
	墙上的黄绿色旗帜	lime_wall_banner	物品的放置方式变种（lime_banner）
	黄绿色羊毛	lime_wool	ID相同
	磁石	lodestone	ID相同
	织布机	loom	ID相同
	品红色旗帜	magenta_banner	ID相同
	品红色床	magenta_bed	ID相同
	品红色蜡烛	magenta_candle	ID相同
	插上品红色蜡烛的蛋糕	magenta_candle_cake	叠加型方块（cake）
	品红色地毯	magenta_carpet	ID相同
	品红色混凝土	magenta_concrete	ID相同
	品红色混凝土粉末	magenta_concrete_powder	ID相同
	品红色带釉陶瓦	magenta_glazed_terracotta	ID相同
	品红色潜影盒	magenta_shulker_box	ID相同
	品红色染色玻璃	magenta_stained_glass	ID相同
	品红色染色玻璃板	magenta_stained_glass_pane	ID相同
	品红色陶瓦	magenta_terracotta	ID相同
	墙上的品红色旗帜	magenta_wall_banner	物品的放置方式变种（magenta_banner）
	品红色羊毛	magenta_wool	ID相同
	岩浆块	magma_block	ID相同
	红树木按钮	mangrove_button	ID相同
	红树木门	mangrove_door	ID相同
	红树木栅栏	mangrove_fence	ID相同
	红树木栅栏门	mangrove_fence_gate	ID相同
	悬挂式红树木告示牌	mangrove_hanging_sign	ID相同
	红树树叶	mangrove_leaves	ID相同
	红树原木	mangrove_log	ID相同
	红树木板	mangrove_planks	ID相同
	红树木压力板	mangrove_pressure_plate	ID相同
	红树胎生苗	mangrove_propagule	ID相同
	红树根	mangrove_roots	ID相同
	红树木告示牌	mangrove_sign	ID相同
	红树木台阶	mangrove_slab	ID相同
	红树木楼梯	mangrove_stairs	ID相同
	红树木活板门	mangrove_trapdoor	ID相同
	墙上的悬挂式红树木告示牌	mangrove_wall_hanging_sign	物品的放置方式变种（mangrove_hanging_sign）
	墙上的红树木告示牌	mangrove_wall_sign	物品的放置方式变种（mangrove_sign）
	红树木	mangrove_wood	ID相同
	中型紫晶芽	medium_amethyst_bud	ID相同
	西瓜	melon	ID相同
	西瓜茎	melon_stem	ID不同（melon_seeds）
	苔藓块	moss_block	ID相同
	覆地苔藓	moss_carpet	ID相同
	苔石	mossy_cobblestone	ID相同
